config,variant,model,class,precision,recall,sensitivity,specificity,f1,auc,support,dice,iou
classification__img_224__cbam__run_1,raw,mednet,benign,0.875,0.835820895522388,0.835820895522388,0.8490566037735849,0.8549618320610687,0.9332582371163053,67,,
classification__img_224__cbam__run_1,raw,mednet,malignant,0.75,0.75,0.75,0.9090909090909091,0.75,0.92578125,32,,
classification__img_224__cbam__run_1,raw,mednet,normal,0.75,0.8571428571428571,0.8571428571428571,0.9393939393939394,0.7999999999999999,0.9475709475709475,21,,
mk_mnet__img_224__width_0_25__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,benign,0.8484848484848485,0.835820895522388,0.835820895522388,0.8113207547169812,0.8421052631578948,0.8853843987609125,67,0.749541798717484,0.6692365349762477
mk_mnet__img_224__width_0_25__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,malignant,0.7096774193548387,0.6875,0.6875,0.8977272727272727,0.6984126984126984,0.8682528409090908,32,0.7999707523162272,0.6859614126813429
mk_mnet__img_224__width_0_25__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,normal,0.7391304347826086,0.8095238095238095,0.8095238095238095,0.9393939393939394,0.7727272727272727,0.9427609427609427,21,0.2857142883354998,0.2857142883354998
mk_mnet__img_224__width_0_25__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,benign,0.8524590163934426,0.7761194029850746,0.7761194029850746,0.8301886792452831,0.8124999999999999,0.8853843987609125,67,0.7146293021242874,0.642542679358812
mk_mnet__img_224__width_0_25__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,malignant,0.7333333333333333,0.6875,0.6875,0.9090909090909091,0.7096774193548386,0.8682528409090908,32,0.7644316607331936,0.6595785316726829
mk_mnet__img_224__width_0_25__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,normal,0.6551724137931034,0.9047619047619048,0.9047619047619048,0.898989898989899,0.7599999999999999,0.9427609427609427,21,0.9047619048124551,0.9047619048124551
mk_mnet__img_224__width_0_25__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,benign,0.92,0.6865671641791045,0.6865671641791045,0.9245283018867925,0.7863247863247863,0.9183328639819769,67,0.7809901879470813,0.6981235472157242
mk_mnet__img_224__width_0_25__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,malignant,0.5686274509803921,0.90625,0.90625,0.75,0.6987951807228915,0.9279119318181818,32,0.7701539658874512,0.6667671544931016
mk_mnet__img_224__width_0_25__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,normal,0.9473684210526315,0.8571428571428571,0.8571428571428571,0.98989898989899,0.9,0.9783549783549783,21,0.619047626331208,0.619047626331208
mk_mnet__img_224__width_0_25__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,benign,0.9347826086956522,0.6417910447761194,0.6417910447761194,0.9433962264150944,0.7610619469026548,0.9183328639819769,67,0.7616286009698104,0.6834371211842083
mk_mnet__img_224__width_0_25__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,malignant,0.58,0.90625,0.90625,0.7613636363636364,0.7073170731707317,0.9279119318181818,32,0.7692499758628976,0.6663085259507519
mk_mnet__img_224__width_0_25__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,normal,0.7916666666666666,0.9047619047619048,0.9047619047619048,0.9494949494949495,0.8444444444444444,0.9783549783549783,21,0.9047619048827636,0.9047619048827636
mk_mnet__img_224__width_0_5__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,benign,0.873015873015873,0.8208955223880597,0.8208955223880597,0.8490566037735849,0.8461538461538461,0.8853843987609125,67,0.7592862148613609,0.679294740050009
mk_mnet__img_224__width_0_5__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,malignant,0.7058823529411765,0.75,0.75,0.8863636363636364,0.7272727272727272,0.9073153409090909,32,0.7852881068907839,0.6679306517292792
mk_mnet__img_224__width_0_5__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,normal,0.6956521739130435,0.7619047619047619,0.7619047619047619,0.9292929292929293,0.7272727272727272,0.9523809523809523,21,0.33333335043463247,0.33333335043463247
mk_mnet__img_224__width_0_5__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,benign,0.8709677419354839,0.8059701492537313,0.8059701492537313,0.8490566037735849,0.8372093023255813,0.8853843987609125,67,0.7041973127720479,0.6319793593297405
mk_mnet__img_224__width_0_5__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,malignant,0.7272727272727273,0.75,0.75,0.8977272727272727,0.7384615384615384,0.9073153409090909,32,0.7635132506933986,0.6512219505986329
mk_mnet__img_224__width_0_5__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,normal,0.68,0.8095238095238095,0.8095238095238095,0.9191919191919192,0.7391304347826089,0.9523809523809523,21,0.8095238097526686,0.8095238097526686
mk_mnet__img_224__width_0_5__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,benign,0.8472222222222222,0.9104477611940298,0.9104477611940298,0.7924528301886793,0.8776978417266188,0.9512813292030414,67,0.8051348373043526,0.7224239618155015
mk_mnet__img_224__width_0_5__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,malignant,0.8064516129032258,0.78125,0.78125,0.9318181818181818,0.7936507936507936,0.953125,32,0.7964493116296696,0.6823990374984341
