config,variant,model,checkpoint,samples,accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,dice_all,iou_all,dice_lesion,iou_lesion,mask_threshold,area_threshold
classification__img_224__cbam__run_1,raw,mednet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/classification/img_224/cbam/run_1/best_model.pt,120,0.8166666666666667,0.7916666666666666,0.814321250888415,0.8016539440203562,0.9355368115624175,,,,,,
mk_mnet__img_224__width_0_25__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/mk_mnet/img_224/width_0.25/oversample_0/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.7916666666666666,0.765764234207432,0.7776149016820658,0.7710817447659553,0.8987993941436487,0.6818197053603018,0.6065801092021423,0.7658420665473807,0.6746425560526422,0.5,
mk_mnet__img_224__width_0_25__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/mk_mnet/img_224/width_0.25/oversample_0/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.775,0.7469882545066264,0.7894604359156597,0.7607258064516128,0.8987993941436487,0.7611831365570918,0.6929739377635651,0.7307270341998935,0.6480492174804672,0.5,0.005
mk_mnet__img_224__width_0_25__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/mk_mnet/img_224/width_0.25/oversample_1/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.775,0.8119986240110079,0.8166533404406539,0.7950399890158927,0.9415332580517123,0.7497605804484021,0.6759235563349011,0.7774875707156857,0.6879881475478059,0.5,
mk_mnet__img_224__width_0_25__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/mk_mnet/img_224/width_0.25/oversample_1/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.7583333333333333,0.768816425120773,0.8176009831793413,0.770941154839277,0.9415332580517123,0.7887092957927339,0.7176013329358671,0.7640920756827275,0.6779006055531922,0.5,0.005
mk_mnet__img_224__width_0_5__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/mk_mnet/img_224/width_0.5/oversample_0/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.7916666666666666,0.7581834666233643,0.7776000947642738,0.7668997668997668,0.9150268973503186,0.6916783014611964,0.6157210733151235,0.7676908668304674,0.6756214993806822,0.5,
mk_mnet__img_224__width_0_5__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/mk_mnet/img_224/width_0.5/oversample_0/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.7916666666666666,0.7594134897360704,0.7884979862591802,0.7716004251899095,0.9150268973503186,0.7384470331893501,0.6681809958254575,0.7233701411910702,0.6381991868105945,0.5,0.005
mk_mnet__img_224__width_0_5__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/mk_mnet/img_224/width_0.5/oversample_1/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.85,0.864950101904561,0.8178675076995973,0.8378179661784357,0.9646081062070103,0.7535867676974983,0.6769931224478936,0.8023273946620307,0.7094866125412979,0.5,
mk_mnet__img_224__width_0_5__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/mk_mnet/img_224/width_0.5/oversample_1/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.8583333333333333,0.8634920634920635,0.8446384150675196,0.8534709340500516,0.9646081062070103,0.7974779959350544,0.7225822176608209,0.7848218132223125,0.694039051677787,0.5,0.005
mk_mnet__img_224__width_1__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/mk_mnet/img_224/width_1/oversample_0/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.8166666666666667,0.8171218212343855,0.8034233593935086,0.8093396653098145,0.9368169989932199,0.7281093618279859,0.6570448622643605,0.7916477101651358,0.7055089228152868,0.5,
mk_mnet__img_224__width_1__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/mk_mnet/img_224/width_1/oversample_0/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.8166666666666667,0.8042448945981554,0.8252191423833214,0.8139308528621506,0.9368169989932199,0.7978535375102027,0.7288278986572069,0.7751760050529801,0.6915085640190458,0.5,0.005
mk_mnet__img_224__width_1__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,mk_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/mk_mnet/img_224/width_1/oversample_1/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.8333333333333334,0.8431885648363089,0.8460376687988629,0.8368888888888889,0.9554191420633092,0.7692353090116751,0.6983493066572241,0.8010933034964359,0.7151708764001318,0.5,
mk_mnet__img_224__width_1__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,mk_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/mk_mnet/img_224/width_1/oversample_1/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.8333333333333334,0.83375104427736,0.8569355602937692,0.8387857903986936,0.9554191420633092,0.8087534021957393,0.7399616346669643,0.7883879622085999,0.7050040015676606,0.5,0.005
r_cbam_mnet__img_224__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,r_cbam_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/r_cbam_mnet/img_224/oversample_0/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.7833333333333333,0.7650604122245914,0.7835524757166548,0.7712163818588218,0.9224625895828403,0.7254750409884063,0.6538826833742236,0.7581515592695661,0.6713729439796475,0.5,
r_cbam_mnet__img_224__oversample_0__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,r_cbam_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/r_cbam_mnet/img_224/oversample_0/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.7833333333333333,0.7643345572584078,0.8053482587064676,0.7757088023461423,0.9224625895828403,0.7677939989046226,0.7018983907081399,0.7185381804904517,0.6386647160098665,0.5,0.005
r_cbam_mnet__img_224__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,raw,r_cbam_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/r_cbam_mnet/img_224/oversample_1/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.8083333333333333,0.8239423739782495,0.8256707533759773,0.8173333333333334,0.9283620369329061,0.7721914139060057,0.699939866606492,0.7642724208695906,0.6766947877792708,0.5,
r_cbam_mnet__img_224__oversample_1__lambda_0_8__lr_0_0003__weight_decay_0_0001__patience_10,refined,r_cbam_mnet,/content/drive/MyDrive/Master/LTAINC/lightweight-medical-model/outputs/busi/r_cbam_mnet/img_224/oversample_1/lambda_0.8/lr_0.0003/weight_decay_0.0001/patience_10/best_model.pt,120,0.8,0.7952562039881039,0.8424914119876806,0.8085185185185185,0.9283620369329061,0.7898444751415802,0.7183705235474586,0.7553670405725023,0.6687319477311424,0.5,0.005
